Village_ID,Village_Name,Latitude,Longitude,Stock,Sales,Days,Profit_Margin,Shelf_Life,Festival_Flag,Credit_Score,Late_delivery_risk,Product_Name
JGN-001,Ghanpur,18.086242,79.336205,96,27,3,6.0,90,0,822,0.2,Rice (50kg)
JGN-002,Palakurthi,18.045973,79.400034,79,34,4,6.0,365,0,812,0.7,Wheat Flour (40kg)
JGN-003,Narmetta,17.926846,79.217605,54,28,3,14.6,365,0,654,0.7,Sugar (50kg)
JGN-004,Kodakandla,18.057718,79.392622,70,25,4,6.0,180,0,676,0.5,Cooking Oil (15L)
JGN-005,Thorrur,18.01745,79.390975,65,28,3,10.3,180,0,641,0.6,Pulses Mix (25kg)
JGN-006,Zaffergadh,18.00906,79.384798,69,26,4,12.1,90,0,590,0.8,Rice (50kg)
JGN-007,Chilpur,17.656711,79.426802,63,28,3,14.3,90,0,672,0.5,Wheat Flour (40kg)
JGN-008,Atmakur,17.92349,79.211428,55,28,3,6.0,90,0,691,0.4,Sugar (50kg)
JGN-009,Regonda,17.779195,79.369561,59,32,4,20.4,180,0,644,0.5,Cooking Oil (15L)
JGN-010,Dharmasagar,17.968792,79.19825,53,31,4,13.5,180,0,657,0.6,Pulses Mix (25kg)
JGN-011,Duggondi,18.069463,79.385621,55,26,3,25.2,180,0,686,0.6,Rice (50kg)
JGN-012,Bachannapeta,17.957047,79.344029,63,28,4,9.5,180,0,669,0.6,Wheat Flour (40kg)
JGN-013,Rayaparthi,18.051007,79.339499,63,28,4,12.0,30,0,673,0.6,Sugar (50kg)
JGN-014,Bhupalpally,17.913423,79.352677,72,28,4,9.3,90,0,721,0.6,Cooking Oil (15L)
JGN-015,Mogullapally,17.920134,79.353912,79,27,4,6.0,30,0,700,1.0,Pulses Mix (25kg)
JGN-016,Inavolu,18.066107,79.407447,70,25,4,9.7,180,0,869,0.6,Rice (50kg)
JGN-017,Shivarampally,17.94698,79.345264,94,22,4,6.0,90,0,772,1.0,Wheat Flour (40kg)
JGN-018,Karimnagar,17.817785,79.361736,75,28,3,19.2,365,0,641,0.7,Sugar (50kg)
JGN-019,Siddipet,17.975503,79.198662,68,27,3,11.2,90,0,657,0.4,Cooking Oil (15L)
JGN-020,Husnabad,18.082886,79.339499,66,33,3,26.7,30,0,727,0.3,Pulses Mix (25kg)
JGN-021,Kolanupaka,17.953691,79.343617,45,27,4,6.0,30,0,607,0.6,Rice (50kg)
JGN-022,Mothkur,17.92349,79.213075,58,30,3,10.0,180,0,699,0.3,Wheat Flour (40kg)
JGN-023,Mulugu,17.955369,79.226253,69,25,4,17.9,180,0,740,0.6,Sugar (50kg)
JGN-024,Narsampet,18.05604,79.336616,61,27,4,12.1,30,0,627,0.7,Cooking Oil (15L)
JGN-025,Parkal,17.978859,79.299966,65,23,4,6.0,30,0,591,0.6,Pulses Mix (25kg)
JGN-026,Sangem,18.039262,79.39674,56,30,5,14.6,180,0,658,0.6,Rice (50kg)
JGN-027,Wardhanapet,17.918456,79.212663,40,26,3,6.0,30,0,688,0.7,Wheat Flour (40kg)
JGN-028,Chennaraopet,18.047651,79.337852,75,29,3,16.1,365,0,628,0.6,Sugar (50kg)
JGN-029,Damera,18.025839,79.393034,48,31,4,18.4,180,0,734,0.9,Cooking Oil (15L)
JGN-030,Elkathurthi,18.020805,79.39221,84,27,4,6.0,30,0,770,0.5,Pulses Mix (25kg)
JGN-031,Geesugonda,18.148322,79.197014,60,27,3,16.9,30,0,677,0.5,Rice (50kg)
JGN-032,Hasanparthy,17.928523,79.204427,58,30,4,7.3,365,0,624,0.5,Wheat Flour (40kg)
JGN-033,Janagama,17.967114,79.199485,57,30,4,15.7,90,0,633,0.4,Sugar (50kg)
JGN-034,Kazipet,17.953691,79.306143,53,34,4,14.3,90,0,700,0.6,Cooking Oil (15L)
JGN-035,Lingalaghanpur,17.847987,79.309025,79,25,3,8.0,365,0,620,0.7,Pulses Mix (25kg)
JGN-036,Maripeda,17.881544,79.262491,52,29,3,14.0,365,0,854,0.4,Rice (50kg)
JGN-037,Nallabelli,17.916779,79.213075,61,29,3,11.6,365,0,590,0.5,Wheat Flour (40kg)
JGN-038,Pethsamudram,17.916779,79.354736,33,32,4,6.0,180,0,792,0.8,Sugar (50kg)
JGN-039,Raiparthy,17.94698,79.375738,62,28,3,9.2,90,0,737,0.4,Cooking Oil (15L)
JGN-040,Shayampet,18.113087,79.65,75,25,3,26.2,30,0,851,0.5,Pulses Mix (25kg)
JGN-041,Torur,17.977181,79.19825,61,26,4,10.7,180,0,728,0.5,Rice (50kg)
JGN-042,Venkatapur,17.998993,79.29873,68,31,3,16.6,180,0,779,0.5,Wheat Flour (40kg)
JGN-043,Yadagirigutta,17.898322,79.219252,80,25,4,14.7,90,0,583,0.6,Sugar (50kg)
JGN-044,Aleru,17.920134,79.214722,59,29,3,6.7,365,0,578,0.6,Cooking Oil (15L)
JGN-045,Bheemadevarapally,17.953691,79.365031,66,27,4,6.8,30,0,659,0.5,Pulses Mix (25kg)
JGN-046,Chigurumamidi,17.787584,79.297083,53,29,4,6.7,90,0,622,0.7,Rice (50kg)
JGN-047,Devaruppula,18.051007,79.338675,60,28,4,23.2,30,0,699,0.5,Wheat Flour (40kg)
JGN-048,Enkoor,17.968792,79.386033,66,30,4,6.0,90,0,653,0.6,Sugar (50kg)
JGN-049,Fatehnagar,18.029195,79.396328,65,27,3,14.1,30,0,661,0.5,Cooking Oil (15L)
JGN-050,Gundlapochampally,17.965436,79.199897,54,28,4,17.8,30,0,680,0.7,Pulses Mix (25kg)
JGN-051,Ghanpur Colony,18.029195,79.331675,45,30,3,15.6,30,0,577,0.4,Rice (50kg)
JGN-052,Palakurthi Colony,17.842953,79.306966,67,24,2,31.9,180,0,754,0.3,Wheat Flour (40kg)
